pmc_index	pmcc_index	mc7	mc8	mc8o	mc9	mc10	mc11	mc12	pmcc_id	pmcc_uuid	pmcc_submission_time	pmcc_parent_table_name	pmcc_parent_index	pmcc_tags	pmcc_notes	pmcc_version	pmcc_duration	pmcc_submitted_by
571.0	599	"cereals"	"maize"		1	0	2.0	1				"rgrp2"	571					
572.0	600	"cash_other"	"coffee"		1	0	5.0	1				"rgrp2"	572					
573.0	601	"cereals"	"maize"		1	0	7.0	1				"rgrp2"	573					
575.0	602	"cereals"	"maize"		1	0	9.0	1				"rgrp2"	575					
576.0	603	"legumes_oilseeds"	"beans"		1	0	2.0	4				"rgrp2"	576					
577.0	604	"cereals"	"maize"		1	0	15.0	1				"rgrp2"	577					
578.0	605	"cereals"	"maize"		1	0	8.0	1				"rgrp2"	578					
579.0	606	"legumes_oilseeds"	"beans"		1	1	3.0	10				"rgrp2"	579					
580.0	607	"cash_other"	"coffee"		1	0	2.0	10				"rgrp2"	580					
581.0	608	"legumes_oilseeds"	"beans"		1	1	3.0	0				"rgrp2"	581					
582.0	609	"cereals"	"maize"		1	0	5.0	0				"rgrp2"	582					
583.0	610	"cereals"	"maize"		1	0	5.0	0				"rgrp2"	583					
584.0	611	"cash_other"	"coffee"		1	0	2.0	0				"rgrp2"	584					
585.0	612	"legumes_oilseeds"	"beans"		1	0	2.0	10				"rgrp2"	585					
586.0	613	"cereals"	"maize"		1	0	5.0	0				"rgrp2"	586					
587.0	614	"legumes_oilseeds"	"beans"		1	1	3.0	10				"rgrp2"	587					
588.0	615	"cereals"	"maize"		1	0	2.0	0				"rgrp2"	588					
590.0	616	"cereals"	"maize"		1	0	30.0	1				"rgrp2"	590					
591.0	617	"cereals"	"maize"		1	0	20.0	1				"rgrp2"	591					
592.0	618	"cash_other"	"coffee"		1	0	10.0	3				"rgrp2"	592					
593.0	619	"cereals"	"maize"		3	0	1.0	1				"rgrp2"	593					
593.0	620	"legumes_oilseeds"	"beans"		4	1	4.0	6				"rgrp2"	593					
593.0	621	"legumes_oilseeds"	"groundnut"		4	1	12.0	10				"rgrp2"	593					
594.0	622	"legumes_oilseeds"	"beans"		1	1	3.0	0				"rgrp2"	594					
595.0	623	"cereals"	"maize"		1	0	5.0	1				"rgrp2"	595					
596.0	624	"legumes_oilseeds"	"beans"		1	1	2.0	1				"rgrp2"	596					
597.0	625	"cereals"	"maize"		1	1	4.0	1				"rgrp2"	597					
598.0	626	"legumes_oilseeds"	"beans"		1	1	2.0	1				"rgrp2"	598					
599.0	627	"cash_other"	"coffee"		1	0	1.0	4				"rgrp2"	599					
600.0	628	"cash_other"	"coffee"		1	0	2.0	1				"rgrp2"	600					
602.0	629	"cash_other"	"coffee"		1	0	2.0	1				"rgrp2"	602					
604.0	630	"cash_other"	"coffee"		2	0	0.0	8				"rgrp2"	604					
604.0	631	"legumes_oilseeds"	"beans"		4	1	1.0	3				"rgrp2"	604					
606.0	632	"cash_other"	"coffee"		1	1	2.0	10				"rgrp2"	606					
609.0	633	"cereals"	"maize"		1	0	9.0	1				"rgrp2"	609					
610.0	634	"cash_other"	"coffee"		1	0	3.0	1				"rgrp2"	610					
611.0	635	"legumes_oilseeds"	"beans"		1	1	7.0	0				"rgrp2"	611					
612.0	636	"cereals"	"maize"		2	0	60.0	1				"rgrp2"	612					
612.0	637	"legumes_oilseeds"	"beans"		4	1	3.0	0				"rgrp2"	612					
613.0	638	"cereals"	"maize"		1	0	50.0	1				"rgrp2"	613					
614.0	639	"cereals"	"maize"		1	0	150.0	1				"rgrp2"	614					
616.0	640	"legumes_oilseeds"	"beans"		4	1	2.0	0				"rgrp2"	616					
616.0	641	"cash_other"	"coffee"		2	0	0.99	2				"rgrp2"	616					
617.0	642	"legumes_oilseeds"	"beans"		1	1	6.0	0				"rgrp2"	617					
618.0	643	"cereals"	"maize"		1	0	20.0	1				"rgrp2"	618					
619.0	644	"cereals"	"maize"		1	0	2.0	0				"rgrp2"	619					
620.0	645	"cereals"	"maize"		1	0	3.0	0				"rgrp2"	620					
621.0	646	"cereals"	"maize"		1	0	1.0	0				"rgrp2"	621					
622.0	647	"legumes_oilseeds"	"beans"		1	1	4.0	10				"rgrp2"	622					
623.0	648	"legumes_oilseeds"	"beans"		1	1	4.0	10				"rgrp2"	623					
624.0	649	"vegetables"	"veg_other"		1	0	20.0	8				"rgrp2"	624					
625.0	650	"cash_other"	"coffee"		1	0	7.0	1				"rgrp2"	625					
626.0	651	"legumes_oilseeds"	"beans"		1	1	14.0	10				"rgrp2"	626					
627.0	652	"cereals"	"maize"		1	0	10.0	0				"rgrp2"	627					
628.0	653	"cereals"	"maize"		1	0	5.0	0				"rgrp2"	628					
629.0	654	"legumes_oilseeds"	"beans"		1	1	1.0	0				"rgrp2"	629					
630.0	655	"cash_other"	"coffee"		1	0	1.0	1				"rgrp2"	630					
631.0	656	"cash_other"	"coffee"		1	0	4.0	1				"rgrp2"	631					
633.0	657	"cereals"	"maize"		3	0	32.0	1				"rgrp2"	633					
633.0	658	"legumes_oilseeds"	"beans"		3	1	3.0	1				"rgrp2"	633					
634.0	659	"cereals"	"maize"		1	0	8.0	1				"rgrp2"	634					
637.0	660	"cereals"	"maize"		3	0	3.0	1				"rgrp2"	637					
637.0	661	"legumes_oilseeds"	"beans"		3	1	5.0	10				"rgrp2"	637					
638.0	662	"cereals"	"maize"		3	1	5.0	1				"rgrp2"	638					
638.0	663	"legumes_oilseeds"	"beans"		3	1	3.0	10				"rgrp2"	638					
640.0	664	"cereals"	"maize"		3	0	3.0	0				"rgrp2"	640					
