psc_index	pscc_index	sc7	sc8	sc8o	sc9	sc10	sc11	sc12	pscc_id	pscc_uuid	pscc_submission_time	pscc_parent_table_name	pscc_parent_index	pscc_tags	pscc_notes	pscc_version	pscc_duration	pscc_submitted_by
1909.0	267	"vegetables"	"veg_other"		1	1	93.0	14				"rgrp4"	1909					
1912.0	268	"cereals"	"maize"		1	1	40.0	0				"rgrp4"	1912					
1944.0	269	"vegetables"	"tomatoes"		3	1	5.0	10				"rgrp4"	1944					
1944.0	270	"vegetables"	"spinach"		3	1	1.0	14				"rgrp4"	1944					
1968.0	271	"fruits"	"banana"		2	0	10.0	17				"rgrp4"	1968					
1968.0	272	"cash_other"	"coffee"		2	1	3.0	10				"rgrp4"	1968					
1968.0	273	"fruits"	"avocado"		5	1	10.0	10				"rgrp4"	1968					
1970.0	274	"legumes_oilseeds"	"sunflower"		3	1	3.0	10				"rgrp4"	1970					
1970.0	275	"legumes_oilseeds"	"beans"		3	1	3.0	10				"rgrp4"	1970					
1972.0	276	"vegetables"	"veg_other"		3	1	2.0	14				"rgrp4"	1972					
1972.0	277	"vegetables"	"veg_other"		3	1	2.0	14				"rgrp4"	1972					
1973.0	278	"cereals"	"cereal_other"		2	1	3.0	10				"rgrp4"	1973					
1973.0	279	"legumes_oilseeds"	"beans"		4	1	1.0	12				"rgrp4"	1973					
1993.0	280	"legumes_oilseeds"	"beans"		1	0	2.0	1				"rgrp4"	1993					
1996.0	281	"legumes_oilseeds"	"beans"		1	0	4.0	10				"rgrp4"	1996					
1997.0	282	"legumes_oilseeds"	"beans"		1	0	2.0	1				"rgrp4"	1997					
2003.0	283	"cereals"	"maize"		1	1	4.5	0				"rgrp4"	2003					
2008.0	284	"vegetables"	"tomatoes"		1	1	70.0	14				"rgrp4"	2008					
2009.0	285	"vegetables"	"tomatoes"		1	1	70.0	14				"rgrp4"	2009					
2010.0	286	"cereals"	"maize"		1	0	1.0	1				"rgrp4"	2010					
2010.0	287	"legumes_oilseeds"	"beans"		1	0	8.0	1				"rgrp4"	2010					
2011.0	288	"cereals"	"paddy"		1	0	20.0	1				"rgrp4"	2011					
2012.0	289	"legumes_oilseeds"	"beans"		1	0	2.0	1				"rgrp4"	2012					
2015.0	290	"roots_tubers"	"onions"		1	1	180.0	10				"rgrp4"	2015					
2025.0	291	"fruits"	"banana"		1	1	5.0	17				"rgrp4"	2025					
2041.0	292	"cereals"	"maize"		3	1	8.0	1				"rgrp4"	2041					
2043.0	293	"cereals"	"paddy"		1	1	35.0	1				"rgrp4"	2043					
2044.0	294	"vegetables"	"egg_plant"		1	0	8.0	1				"rgrp4"	2044					
2049.0	295	"cereals"	"maize"		3	1	6.0	10				"rgrp4"	2049					
2049.0	296	"vegetables"	"veg_other"		3	1	72.0	10				"rgrp4"	2049					
2054.0	297	"cereals"	"maize"		1	1	2.0	0				"rgrp4"	2054					
2055.0	298	"cereals"	"paddy"		1	1	30.0	2				"rgrp4"	2055					
2056.0	299	"cereals"	"paddy"		1	1	40.0	2				"rgrp4"	2056					
2057.0	300	"vegetables"	"tomatoes"		3	1	50.0	14				"rgrp4"	2057					
2057.0	301	"vegetables"	"veg_other"		3	1	13.0	0				"rgrp4"	2057					
2060.0	302	"cereals"	"paddy"		1	1	41.0	2				"rgrp4"	2060					
2061.0	303	"cereals"	"paddy"		1	1	16.0	2				"rgrp4"	2061					
2062.0	304	"cereals"	"maize"		1	1	38.0	0				"rgrp4"	2062					
2063.0	305	"cereals"	"maize"		1	1	7.0	0				"rgrp4"	2063					
2065.0	306	"cereals"	"maize"		1	1	8.0	0				"rgrp4"	2065					
2066.0	307	"cereals"	"maize"		1	1	4.0	0				"rgrp4"	2066					
2067.0	308	"cereals"	"paddy"		1	1	18.0	2				"rgrp4"	2067					
2070.0	309	"vegetables"	"egg_plant"		1	1	200.0	3				"rgrp4"	2070					
2101.0	310	"vegetables"	"spinach"		1	1	1.0	4				"rgrp4"	2101					
2130.0	311	"vegetables"	"pumpkins"		1	1	50.0	23				"rgrp4"	2130					
