hh_index	cropsales_index	csal2g	csal2c	csal3	csal4	csal5	csal6	csal7	cropsales_id	cropsales_uuid	cropsales_submission_time	cropsales_parent_table_name	cropsales_parent_index	cropsales_tags	cropsales_notes	cropsales_version	cropsales_duration	cropsales_submitted_by
42.0	51	"legumes_oilseeds"	"soyabeans"	1.0	0	1.0	1	65000				"APS_tz17_hh"	42					
43.0	52	"cereals"	"maize"	60.0	0	45.0	0	48000				"APS_tz17_hh"	43					
43.0	53	"legumes_oilseeds"	"beans"	2.5	0	2.0	0	120000				"APS_tz17_hh"	43					
43.0	54	"legumes_oilseeds"	"pigeon_pea"	2.0	0	2.0	0	120000				"APS_tz17_hh"	43					
43.0	55	"legumes_oilseeds"	"soyabeans"	1.0	0	1.0	0	120000				"APS_tz17_hh"	43					
44.0	56	"cereals"	"maize"	55.0	0	35.0	0	48000				"APS_tz17_hh"	44					
44.0	57	"legumes_oilseeds"	"pigeon_pea"	1.0	0	1.0	0	120000				"APS_tz17_hh"	44					
44.0	58	"legumes_oilseeds"	"beans"	100.0	8	60.0	8	1000				"APS_tz17_hh"	44					
45.0	59	"cereals"	"maize"	16.0	10	8.0	1	12000				"APS_tz17_hh"	45					
46.0	60	"cereals"	"maize"	40.0	10	16.0	10	10000				"APS_tz17_hh"	46					
47.0	61	"cereals"	"maize"	24.0	0	10.0	0	60000				"APS_tz17_hh"	47					
47.0	62	"legumes_oilseeds"	"pigeon_pea"	9.0	0	9.0	0	100000				"APS_tz17_hh"	47					
47.0	63	"legumes_oilseeds"	"beans"	8.0	0	8.0	0	50000				"APS_tz17_hh"	47					
48.0	64	"cereals"	"maize"	78.0	0	68.0	0	48000				"APS_tz17_hh"	48					
48.0	65	"legumes_oilseeds"	"pigeon_pea"	3.0	0	2.0	0	84000				"APS_tz17_hh"	48					
48.0	66	"legumes_oilseeds"	"soyabeans"	3.0	0	3.0	0	78000				"APS_tz17_hh"	48					
49.0	67	"cereals"	"maize"	10.0	1	8.0	1	40000				"APS_tz17_hh"	49					
50.0	68	"cereals"	"maize"	85.0	0	40000.0	0	70000				"APS_tz17_hh"	50					
53.0	69	"cereals"	"maize"	32.0	0	25.0	0	520000				"APS_tz17_hh"	53					
54.0	70	"cereals"	"maize"	29.0	0	25.0	0	1250000				"APS_tz17_hh"	54					
54.0	71	"legumes_oilseeds"	"beans"	2.0	0	1.0	0	90000				"APS_tz17_hh"	54					
56.0	72	"legumes_oilseeds"	"beans"	7.0	1	6.0	1	120000				"APS_tz17_hh"	56					
56.0	73	"cereals"	"maize"	45.0	1	27.0	1	45000				"APS_tz17_hh"	56					
56.0	74	"legumes_oilseeds"	"groundnut"	18.0	2	13.0	1	30000				"APS_tz17_hh"	56					
60.0	75	"cereals"	"maize"	32.0	1	22.0	1	35000				"APS_tz17_hh"	60					
60.0	76	"legumes_oilseeds"	"beans"	8.0	1	6.0	1	100000				"APS_tz17_hh"	60					
61.0	77	"cereals"	"maize"	16.0	1	2.0	1	50000				"APS_tz17_hh"	61					
