fp_index	fpweed_index	weeding_mo	weeding_wk	weeding_typ	fpweed_id	fpweed_uuid	fpweed_submission_time	fpweed_parent_table_name	fpweed_parent_index	fpweed_tags	fpweed_notes	fpweed_version	fpweed_duration	fpweed_submitted_by
238.0	392	2	3	1				"APS_tz17_fp"	238					
238.0	393	3	3	1				"APS_tz17_fp"	238					
239.0	394	2	4	1				"APS_tz17_fp"	239					
239.0	395	3	4	1				"APS_tz17_fp"	239					
240.0	396	2	1	1				"APS_tz17_fp"	240					
240.0	397	3	1	1				"APS_tz17_fp"	240					
241.0	398	2	4	1				"APS_tz17_fp"	241					
241.0	399	3	4	1				"APS_tz17_fp"	241					
242.0	400	2	3	1				"APS_tz17_fp"	242					
242.0	401	3	2	1				"APS_tz17_fp"	242					
242.0	402	4	3	1				"APS_tz17_fp"	242					
243.0	403	2	3	1				"APS_tz17_fp"	243					
243.0	404	3	2	1				"APS_tz17_fp"	243					
243.0	405	4	3	1				"APS_tz17_fp"	243					
244.0	406	2	2	1				"APS_tz17_fp"	244					
244.0	407	3	2	1				"APS_tz17_fp"	244					
245.0	408	2	2	1				"APS_tz17_fp"	245					
245.0	409	3	2	1				"APS_tz17_fp"	245					
246.0	410	2	2	1				"APS_tz17_fp"	246					
246.0	411	3	4	1				"APS_tz17_fp"	246					
247.0	412	2	4	1				"APS_tz17_fp"	247					
247.0	413	4	1	1				"APS_tz17_fp"	247					
248.0	414	2	2	1				"APS_tz17_fp"	248					
248.0	415	4	1	1				"APS_tz17_fp"	248					
249.0	416	2	4	1				"APS_tz17_fp"	249					
249.0	417	4	1	1				"APS_tz17_fp"	249					
250.0	418	3	2	1				"APS_tz17_fp"	250					
251.0	419	2	3	1				"APS_tz17_fp"	251					
252.0	420	2	3	1				"APS_tz17_fp"	252					
252.0	421	3	4	1				"APS_tz17_fp"	252					
253.0	422	2	1	1				"APS_tz17_fp"	253					
253.0	423	2	4	1				"APS_tz17_fp"	253					
254.0	424	4	2	1				"APS_tz17_fp"	254					
255.0	425	1	3	1				"APS_tz17_fp"	255					
255.0	426	2	3	1				"APS_tz17_fp"	255					
256.0	427	2	2	1				"APS_tz17_fp"	256					
256.0	428	4	1	1				"APS_tz17_fp"	256					
257.0	429	2	1	1				"APS_tz17_fp"	257					
257.0	430	3	4	1				"APS_tz17_fp"	257					
258.0	431	2	2	1				"APS_tz17_fp"	258					
258.0	432	3	2	1				"APS_tz17_fp"	258					
259.0	433	2	2	1				"APS_tz17_fp"	259					
260.0	434	3	1	1				"APS_tz17_fp"	260					
260.0	435	4	2	1				"APS_tz17_fp"	260					
261.0	436	2	1	1				"APS_tz17_fp"	261					
261.0	437	3	4	1				"APS_tz17_fp"	261					
262.0	438	2	3	1				"APS_tz17_fp"	262					
